year,state,deaths,births,mm_rate
2018,TOTAL,935,3791712,24.7
2019,TOTAL,1076,3747540,28.7
2020,TOTAL,1268,3613647,35.1
2021,TOTAL,1666,3664292,45.5
2018,North Carolina,24,118954,20.2
2019,North Carolina,45,118725,37.9
2020,North Carolina,66,116730,56.5
2021,North Carolina,82,120466,68.1
2018,Alabama,31,57761,53.7
2019,Alabama,33,58615,56.3
2020,Alabama,34,57647,59
2021,Alabama,50,58054,86.1
2018,Arizona,22,80723,27.3
2019,Arizona,31,79375,39.1
2020,Arizona,39,76947,50.7
2021,Arizona,38,77916,48.8
2018,Arkansas,22,37018,59.4
2019,Arkansas,14,36564,38.3
2020,Arkansas,22,35251,62.4
2021,Arkansas,24,35965,66.7
2018,California,79,454920,17.4
2019,California,68,446479,15.2
2020,California,81,420259,19.3
2021,California,92,420608,21.9
2018,Florida,54,221542,24.4
2019,Florida,69,220002,31.4
2020,Florida,58,209671,27.7
2021,Florida,107,216260,49.5
2018,Georgia,61,126172,48.3
2019,Georgia,62,126371,49.1
2020,Georgia,49,122473,40
2021,Georgia,95,124073,76.6
2018,Illinois,22,144815,15.2
2019,Illinois,20,140128,14.3
2020,Illinois,37,133298,27.8
2021,Illinois,47,132189,35.6
2018,Indiana,23,81646,28.2
2019,Indiana,33,80859,40.8
2020,Indiana,33,78616,42
2021,Indiana,38,79946,47.5
2018,Kentucky,29,53922,53.8
2019,Kentucky,21,53069,39.6
2020,Kentucky,28,51668,54.2
2021,Kentucky,23,52214,44
2018,Louisiana,21,59615,35.2
2019,Louisiana,26,58941,44.1
2020,Louisiana,31,57328,54.1
2021,Louisiana,44,57437,76.6
2018,Maryland,17,71080,23.9
2019,Maryland,22,70178,31.3
2020,Maryland,18,68554,26.3
2021,Maryland,26,68285,38.1
2018,Michigan,19,110032,17.3
2019,Michigan,34,107886,31.5
2020,Michigan,38,104074,36.5
2021,Michigan,33,104980,31.4
2018,Minnesota,10,67344,14.8
2019,Minnesota,11,66027,16.7
2020,Minnesota,12,63443,18.9
2021,Minnesota,17,64425,26.4
2018,Mississippi,15,37000,40.5
2019,Mississippi,21,36636,57.3
2020,Mississippi,15,35473,42.3
2021,Mississippi,38,35156,108.1
2018,Missouri,24,73269,32.8
2019,Missouri,16,72127,22.2
2020,Missouri,39,69285,56.3
2021,Missouri,35,69453,50.4
2018,New Jersey,34,101223,33.6
2019,New Jersey,34,99585,34.1
2020,New Jersey,35,97954,35.7
2021,New Jersey,44,101497,43.4
2018,New York,65,226238,28.7
2019,New York,77,221539,34.8
2020,New York,70,209338,33.4
2021,New York,89,210742,42.2
2018,Ohio,27,135134,20
2019,Ohio,45,134461,33.5
2020,Ohio,43,129191,33.3
2021,Ohio,65,129791,50.1
2018,Oklahoma,17,49800,34.1
2019,Oklahoma,14,49143,28.5
2020,Oklahoma,12,47623,25.2
2021,Oklahoma,25,48410,51.6
2018,Pennsylvania,27,135673,19.9
2019,Pennsylvania,39,134230,29.1
2020,Pennsylvania,25,130693,19.1
2021,Pennsylvania,46,132622,34.7
2018,South Carolina,16,56669,28.2
2019,South Carolina,24,57038,42.1
2020,South Carolina,31,55704,55.7
2021,South Carolina,37,57185,64.7
2018,Tennessee,26,80751,32.2
2019,Tennessee,29,80450,36
2020,Tennessee,52,78689,66.1
2021,Tennessee,61,81717,74.6
2018,Texas,92,378624,24.3
2019,Texas,85,377599,22.5
2020,Texas,155,368190,42.1
2021,Texas,205,373594,54.9
2018,Virginia,21,99843,21
2019,Virginia,32,97429,32.8
2020,Virginia,44,94749,46.4
2021,Virginia,60,95825,62.6
2018,Washington,18,86085,20.9
2019,Washington,30,84895,35.3
2020,Washington,17,83086,20.5
2021,Washington,25,83911,29.8
